Designator,Mid X,Mid Y,Layer,Rotation
C1,140,-89.8175,top,90
C2,144.5,-89.8175,top,90
C3,110.236,-117.856,top,90
C4,146,-89.8175,top,90
C5,147.5,-89.8175,top,90
C6,148.4,-99,top,0
C7,146,-106.135,top,-90
C8,133.7,-99.1,top,180
C9,134,-94.5675,top,180
C10,138.5,-89.8175,top,90
C11,137,-89.8175,top,90
C12,149,-89.8175,top,90
C13,144.5,-106.135,top,-90
C14,136,-106.135,top,-90
C15,139.77,-115.05,top,0
C16,136.7325,-122.8,top,0
C17,136.7325,-125.05,top,0
C18,120.396,-117.856,top,90
C19,123.825,-97.155,top,180
C20,134.5,-84.75,top,0
C21,149.25,-95.5,top,0
C22,137.1,-80.7,top,135
D1,127,-67.5,top,0
D2,114.5,-70,top,22.5
D3,103,-77.5,top,45
D4,95.5,-88.5,top,67.5
D5,93,-101.5,top,90
D6,102.75,-125.25,top,135
D7,95.5,-114.5,top,112.5
D8,113.75,-133,top,157.5
D9,127,-135.5,top,180
D10,151,-125.75,top,-135
D11,161,-101.75,top,-90
D12,151,-77.5,top,-45
D13,140,-133,top,-157.5
D14,158.25,-114.75,top,-112.5
D15,158.25,-88.5,top,-67.5
D16,139.75,-70,top,-22.5
D17,127,-102.8,top,0
D18,124.8,-91.7,top,0
J1,127,-53.675,top,180
J2,148.4,-113.2,top,0
J4,128.27,-120.904,top,0
J5,143.02,-118.76,top,0
L1,135.77,-114.3,top,180
R1,141.5,-89.8175,top,-90
R2,143,-89.8175,top,-90
R3,138.52,-119.3,top,-90
R4,138.02,-121.05,top,180
R5,127,-69.75,top,0
R6,122.25,-83.75,top,90
R7,115.316,-72.136,top,22.5
R8,139,-78.9,top,45
R9,104.648,-79.248,top,45
R10,97.79,-89.408,top,67.5
R11,95.25,-101.5,top,90
R12,104.394,-123.698,top,135
R13,97.5,-113.5,top,112.5
R14,114.75,-130.81,top,157.5
R15,127,-133.35,top,180
R16,149.352,-124.206,top,-135
R17,158.75,-101.75,top,-90
R18,149.352,-78.994,top,-45
R19,139.192,-130.81,top,-157.5
R20,156.21,-113.792,top,-112.5
R21,156.21,-89.408,top,-67.5
R22,138.684,-72.136,top,-22.5
R23,127,-104.902001,top,180
R24,128.9,-91.7,top,180
SW1,129.709999,-63.845001,top,90
SW2,122.089999,-63.845001,top,90
SW3,109.09865,-130.058319,top,-123.75
SW4,146.349583,-129.090066,top,-56.25
U1,140.5625,-97.6675,top,0
U2,127,-98.425,top,0
U3,115.316,-115.316,top,90
U4,128.25,-86.75,top,0
U5,135.52,-118.55,top,0
U6,141.830548,-81.910152,top,135
Y1,140.25,-106.135,top,180
